'sample #','II','AVF','ABP','PAP'
0,-32768,-32768,-32768,-32768
1,-32768,-32768,-32768,-32768
2,-32768,-32768,-32768,-32768
3,-32768,-32768,-32768,-32768
4,-32768,-32768,-32768,-32768
5,-32768,-32768,-32768,-32768
6,-32768,-32768,-32768,-32768
7,-32768,-32768,-32768,-32768
8,-32768,-32768,-32768,-32768
9,-32768,-32768,-32768,-32768
10,-32768,-32768,-32768,-32768
11,-32768,-32768,-32768,-32768
12,-32768,-32768,-32768,-32768
13,-32768,-32768,-32768,-32768
14,-32768,-32768,-32768,-32768
15,-32768,-32768,-32768,-32768
16,-32768,-32768,-32768,-32768
17,-32768,-32768,-32768,-32768
18,-32768,-32768,-32768,-32768
19,-32768,-32768,-32768,-32768
20,-32768,-32768,-32768,-32768
21,-32768,-32768,-32768,-32768
22,-32768,-32768,-32768,-32768
23,-32768,-32768,-32768,-32768
24,-32768,-32768,-32768,-32768
25,-32768,-32768,-32768,-32768
26,-32768,-32768,-32768,-32768
27,-32768,-32768,-32768,-32768
28,-32768,-32768,-32768,-32768
29,-32768,-32768,-32768,-32768
30,-32768,-32768,-32768,-32768
31,-32768,-32768,-32768,-32768
32,-32768,-32768,-32768,-32768
33,-32768,-32768,-32768,-32768
34,-32768,-32768,-32768,-32768
35,-32768,-32768,-32768,-32768
36,-32768,-32768,-32768,-32768
37,-32768,-32768,-32768,-32768
38,-32768,-32768,-32768,-32768
39,-32768,-32768,-32768,-32768
40,-32768,-32768,-32768,-32768
41,-32768,-32768,-32768,-32768
42,-32768,-32768,-32768,-32768
43,-32768,-32768,-32768,-32768
44,-32768,-32768,-32768,-32768
45,-32768,-32768,-32768,-32768
46,-32768,-32768,-32768,-32768
47,-32768,-32768,-32768,-32768
48,-32768,-32768,-32768,-32768
49,-32768,-32768,-32768,-32768
50,-32768,-32768,-32768,-32768
51,-32768,-32768,-32768,-32768
52,-32768,-32768,-32768,-32768
53,-32768,-32768,-32768,-32768
54,-32768,-32768,-32768,-32768
55,-32768,-32768,-32768,-32768
56,-32768,-32768,-32768,-32768
57,-32768,-32768,-32768,-32768
58,-32768,-32768,-32768,-32768
59,-32768,-32768,-32768,-32768
60,-32768,-32768,-32768,-32768
61,-32768,-32768,-32768,-32768
62,-32768,-32768,-32768,-32768
63,-32768,-32768,-32768,-32768
64,-32768,-32768,-32768,-32768
65,-32768,-32768,-32768,-32768
66,-32768,-32768,-32768,-32768
67,-32768,-32768,-32768,-32768
68,-32768,-32768,-32768,-32768
69,-32768,-32768,-32768,-32768
70,-32768,-32768,-32768,-32768
71,-32768,-32768,-32768,-32768
72,-32768,-32768,-32768,-32768
73,-32768,-32768,-32768,-32768
74,-32768,-32768,-32768,-32768
75,-32768,-32768,-32768,-32768
76,-32768,-32768,-32768,-32768
77,-32768,-32768,-32768,-32768
78,-32768,-32768,-32768,-32768
79,-32768,-32768,-32768,-32768
80,-32768,-32768,-32768,-32768
81,-32768,-32768,-32768,-32768
82,-32768,-32768,-32768,-32768
83,-32768,-32768,-32768,-32768
84,-32768,-32768,-32768,-32768
85,-32768,-32768,-32768,-32768
86,-32768,-32768,-32768,-32768
87,-32768,-32768,-32768,-32768
88,-32768,-32768,-32768,-32768
89,-32768,-32768,-32768,-32768
90,-32768,-32768,-32768,-32768
91,-32768,-32768,-32768,-32768
92,-32768,-32768,-32768,-32768
93,-3096,-3600,-90,-180
94,-3096,-3600,-90,-180
95,-3096,-3600,-90,-180
96,-3096,-3600,-90,-180
